collected_at_utc,account,post_id,type,family,format,media_type,ig_post_id,permalink,scheduled_time_ist,posted_at_utc,posted_at_ist,posted_hour_ist,slot_delay_min,hours_since_post,status,reach,views,likes,comments,saved,shares,total_interactions,interactions_per_reach,like_count,comments_count,ig_reels_avg_watch_time,ig_reels_video_view_total_time,reels_skip_rate,follows,profile_visits,error,extra_error
2026-09-18T08:24:27Z,anime_ekaya,2026-08-30-fan-vote-01,fan-vote,fan-vote,FEED,CAROUSEL_ALBUM,18244592608309261,https://www.instagram.com/p/Dcq6yzYFGZJ/,2026-08-30T13:00:00+05:30,2026-08-30T16:15:44+00:00,2026-08-30T21:45:44+05:30,21:45,526,448.1,ok,2,8,1,0,0,0,1,0.5,1,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-08-30-mood-match-01,mood-match,mood-match,FEED,CAROUSEL_ALBUM,18431779219180382,https://www.instagram.com/p/Dcq62M6FPf0/,2026-08-30T19:30:00+05:30,2026-08-30T16:16:12+00:00,2026-08-30T21:46:12+05:30,21:46,136,448.1,ok,2,5,2,0,0,0,2,1.0,2,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-08-30-signs-diagnostic-01,reel-diagnostic,diagnostic,REELS,VIDEO,17956457808011494,https://www.instagram.com/reel/Dcq63rKCerA/,2026-08-30T20:00:00+05:30,2026-08-30T16:16:31+00:00,2026-08-30T21:46:31+05:30,21:46,107,448.1,ok,39,45,1,0,0,0,1,0.0256,1,0,3570,146403,76.3,,,,
2026-09-18T08:24:27Z,anime_ekaya,2026-08-30-gateway-01,gateway-guide,gateway-guide,FEED,CAROUSEL_ALBUM,17964661634965818,https://www.instagram.com/p/DcrKUGDIJ6r/,2026-08-30T22:30:00+05:30,2026-08-30T18:31:23+00:00,2026-08-31T00:01:23+05:30,00:01,91,445.9,ok,2,5,1,0,0,0,1,0.5,1,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-08-31-cant-pick-at-1am,reel-mood-match,mood-match,REELS,VIDEO,18087460940222890,https://www.instagram.com/reel/DcwGP5egSHR/,2026-09-01T19:30:00+05:30,2026-09-01T16:32:16+00:00,2026-09-01T22:02:16+05:30,22:02,152,399.9,ok,117,128,0,0,0,0,0,0.0,0,0,2093,257501,88.2,,,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-01-thriller-gateway,gateway-guide,gateway-guide,FEED,CAROUSEL_ALBUM,18001037711793230,https://www.instagram.com/p/DcwGXMvAF1z/,2026-09-01T13:00:00+05:30,2026-09-01T16:33:05+00:00,2026-09-01T22:03:05+05:30,22:03,543,399.9,ok,2,4,0,0,0,0,0,0.0,0,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-01-hot-take-dubs,hot-take,hot-take,FEED,CAROUSEL_ALBUM,18101831324206955,https://www.instagram.com/p/DcwLNcrG_0i/,2026-09-01T22:30:00+05:30,2026-09-01T17:15:20+00:00,2026-09-01T22:45:20+05:30,22:45,15,399.2,ok,2,5,1,0,0,0,1,0.5,1,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-01-spoiler-gauntlet,reel-relatable-action,relatable-action,REELS,VIDEO,17900020671575729,https://www.instagram.com/reel/DcyzfhWgbOZ/,2026-09-02T19:30:00+05:30,2026-09-02T17:46:12+00:00,2026-09-02T23:16:12+05:30,23:16,226,374.6,ok,78,86,2,0,0,0,2,0.0256,2,0,3415,290329,75.9,,,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-02-brain-off-comedies,mood-match,mood-match,FEED,CAROUSEL_ALBUM,18145753123564693,https://www.instagram.com/p/Dc1X1u_oCRH/,2026-09-02T13:00:00+05:30,2026-09-03T17:41:58+00:00,2026-09-03T23:11:58+05:30,23:11,2052,350.7,ok,2,7,2,0,0,0,2,1.0,2,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-02-movie-night-gateway,gateway-guide,gateway-guide,FEED,CAROUSEL_ALBUM,18027595094681896,https://www.instagram.com/p/Dc1X6WuIAe2/,2026-09-02T22:30:00+05:30,2026-09-03T17:42:36+00:00,2026-09-03T23:12:36+05:30,23:12,1483,350.7,ok,2,7,1,0,0,0,1,0.5,1,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-02-pick-your-door,reel-gateway,gateway,REELS,VIDEO,18110345345030190,https://www.instagram.com/reel/Dc1X-qAiGZK/,2026-09-03T19:30:00+05:30,2026-09-03T17:43:29+00:00,2026-09-03T23:13:29+05:30,23:13,223,350.7,ok,78,93,3,0,0,0,3,0.0385,3,0,4966,417156,73.2,,,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-03-anime-friend-signs,diagnostic,diagnostic,FEED,CAROUSEL_ALBUM,18622742695008195,https://www.instagram.com/p/Dc1YFn0IC5n/,2026-09-03T22:30:00+05:30,2026-09-03T17:44:07+00:00,2026-09-03T23:14:07+05:30,23:14,44,350.7,ok,3,5,1,0,0,0,1,0.3333,1,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-03-hype-boost-picks,mood-match,mood-match,FEED,CAROUSEL_ALBUM,18105498224611049,https://www.instagram.com/p/Dc1YKQHIFLQ/,2026-09-03T13:00:00+05:30,2026-09-03T17:44:47+00:00,2026-09-03T23:14:47+05:30,23:14,615,350.7,ok,3,5,2,0,0,0,2,0.6667,2,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-04-backlog-weekend,reel-mood-match,mood-match,REELS,VIDEO,18109021409177321,https://www.instagram.com/reel/Dc37M-HjaAS/,2026-09-04T19:30:00+05:30,2026-09-04T17:29:42+00:00,2026-09-04T22:59:42+05:30,22:59,210,326.9,ok,61,68,2,0,0,0,2,0.0328,2,0,5180,341884,66.7,,,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-04-hot-take-drop-it,hot-take,hot-take,FEED,CAROUSEL_ALBUM,18104072732219176,https://www.instagram.com/p/Dc37SZ0nPlx/,2026-09-04T22:30:00+05:30,2026-09-04T17:30:14+00:00,2026-09-04T23:00:14+05:30,23:00,30,326.9,ok,3,3,2,0,0,0,2,0.6667,2,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-04-fall-radar-01,seasonal-preview,seasonal-preview,FEED,CAROUSEL_ALBUM,18442907089127740,https://www.instagram.com/p/Dc5ul-UG7X0/,2026-09-05T13:00:00+05:30,2026-09-05T10:17:46+00:00,2026-09-05T15:47:46+05:30,15:47,168,310.1,ok,3,5,2,0,0,0,2,0.6667,2,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-04-show-converter,reel-gateway-guide,gateway-guide,REELS,VIDEO,17984525616064650,https://www.instagram.com/reel/Dc6aX9ckVLB/,2026-09-05T21:00:00+05:30,2026-09-05T16:40:38+00:00,2026-09-05T22:10:38+05:30,22:10,71,303.7,ok,937,1128,14,0,2,5,21,0.0224,14,0,53049,50874470,43.6,,,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-05-cry-on-purpose,reel-mood-match,mood-match,REELS,VIDEO,18096770660074610,https://www.instagram.com/reel/Dc8HSGfD-oT/,2026-09-05T19:30:00+05:30,2026-09-06T08:32:17+00:00,2026-09-06T14:02:17+05:30,14:02,1112,287.9,ok,238,262,3,0,0,0,3,0.0126,3,0,4476,1096696,63.9,,,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-06-guess-the-anime,reel-diagnostic,diagnostic,REELS,VIDEO,18115089598923666,https://www.instagram.com/reel/DdFEgPGiuX4/,2026-09-06T19:30:00+05:30,2026-09-09T20:01:13+00:00,2026-09-10T01:31:13+05:30,01:31,4681,204.4,ok,98,102,1,0,0,0,1,0.0102,1,0,4916,472023,71.6,,,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-06-pause-it,reel-relatable-action,relatable-action,REELS,VIDEO,18621853771033471,https://www.instagram.com/reel/DdFEkeakylc/,2026-09-06T10:00:00+05:30,2026-09-09T20:01:42+00:00,2026-09-10T01:31:42+05:30,01:31,5252,204.4,ok,77,83,1,0,0,0,1,0.013,1,0,2192,173244,90.8,,,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-14-anime-night-picker,gateway-guide,gateway-guide,FEED,CAROUSEL_ALBUM,17898935253596998,https://www.instagram.com/p/DdSIhAGiVLl/,2026-09-14T22:39:00+05:30,2026-09-14T21:46:02+00:00,2026-09-15T03:16:02+05:30,03:16,277,82.6,ok,1,3,1,0,0,0,1,1.0,1,0,,,,0,0,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-14-group-chat-veto,reel-relatable-action,relatable-action,REELS,VIDEO,17983993476115249,https://www.instagram.com/reel/DdSIilGDHqD/,2026-09-14T20:38:00+05:30,2026-09-14T21:46:23+00:00,2026-09-15T03:16:23+05:30,03:16,398,82.6,ok,87,109,1,0,0,0,1,0.0115,1,0,3400,312859,69.6,,,,
2026-09-18T08:24:27Z,anime_ekaya,2026-09-14-subtitle-speedrun,reel-relatable-action,relatable-action,REELS,VIDEO,18105025642949092,https://www.instagram.com/reel/DdSIlXniqVi/,2026-09-14T13:12:00+05:30,2026-09-14T21:46:59+00:00,2026-09-15T03:16:59+05:30,03:16,845,82.6,ok,120,141,1,0,0,0,1,0.0083,1,0,2200,270670,86.8,,,,
2026-09-18T08:24:27Z,hype_tingles,2026-08-30-animal-panel-ep01,animal-panel,animal-panel,FEED,,17956539249209063,,2026-08-30T20:30:00+05:30,2026-08-30T16:15:52+00:00,2026-08-30T21:45:52+05:30,21:45,76,448.1,missing,,,,,,,,,,,,,,,,"IGApiException code=100 subcode=33: Unsupported get request. Object with ID '17956539249209063' does not exist, cannot be loaded due to missing permissions, or does not support this operation",
2026-09-18T08:24:27Z,hype_tingles,2026-08-30-animal-reviews-01,one-star-files,one-star-files,FEED,,18482454190105167,,2026-08-30T11:30:00+05:30,2026-08-30T16:16:28+00:00,2026-08-30T21:46:28+05:30,21:46,616,448.1,missing,,,,,,,,,,,,,,,,"IGApiException code=100 subcode=33: Unsupported get request. Object with ID '18482454190105167' does not exist, cannot be loaded due to missing permissions, or does not support this operation",
2026-09-18T08:24:27Z,hype_tingles,2026-08-30-breaking-snooze-01,reel-breaking-news,breaking-news,REELS,,18086780813210441,,2026-08-30T20:30:00+05:30,2026-08-30T16:16:56+00:00,2026-08-30T21:46:56+05:30,21:46,77,448.1,missing,,,,,,,,,,,,,,,,"IGApiException code=100 subcode=33: Unsupported get request. Object with ID '18086780813210441' does not exist, cannot be loaded due to missing permissions, or does not support this operation",
2026-09-18T08:24:27Z,hype_tingles,2026-08-30-pigeon-confidence-01,masterclass,masterclass,FEED,,18128469745683247,,2026-08-30T16:30:00+05:30,2026-08-30T16:17:33+00:00,2026-08-30T21:47:33+05:30,21:47,318,448.1,missing,,,,,,,,,,,,,,,,"IGApiException code=100 subcode=33: Unsupported get request. Object with ID '18128469745683247' does not exist, cannot be loaded due to missing permissions, or does not support this operation",
2026-09-18T08:24:27Z,hype_tingles,2026-08-31-operation-monday-story,reel-story-groupchat,story-groupchat,REELS,,18067939148742411,,2026-08-31T20:30:00+05:30,2026-08-31T17:19:55+00:00,2026-08-31T22:49:55+05:30,22:49,140,423.1,missing,,,,,,,,,,,,,,,,"IGApiException code=100 subcode=33: Unsupported get request. Object with ID '18067939148742411' does not exist, cannot be loaded due to missing permissions, or does not support this operation",
